Time Frame,Lifetouch Heart Rate
0 days 00:00:00,107.94971764459717
0 days 00:01:00,108.957316096392
0 days 00:02:00,109.9497832043899
0 days 00:03:00,110.94963468302495
0 days 00:04:00,111.94828202605487
0 days 00:05:00,112.94799207969022
0 days 00:06:00,113.94769845170094
0 days 00:07:00,114.94759038679982
0 days 00:08:00,115.94751786862237
0 days 00:09:00,116.94748479462217
0 days 00:10:00,117.94746564054898
0 days 00:11:00,118.94745611121003
0 days 00:12:00,119.94745089739953
0 days 00:13:00,120.94744821126689
0 days 00:14:00,121.94744677407094
0 days 00:15:00,122.94744602323759
0 days 00:16:00,123.94744562504499
0 days 00:17:00,124.94744541586007
0 days 00:18:00,125.9474453053103
0 days 00:19:00,126.94744524710632
0 days 00:20:00,127.9474452163895
0 days 00:21:00,128.94744520020305
0 days 00:22:00,129.94744519166548
0 days 00:23:00,130.94744518716496
0 days 00:24:00,131.9474451847917
0 days 00:25:00,132.94744518354045
0 days 00:26:00,133.9474451828807
0 days 00:27:00,134.94744518253285
0 days 00:28:00,135.94744518234944
0 days 00:29:00,136.94744518225272
0 days 00:30:00,137.94744518220173
0 days 00:31:00,138.94744518217485
0 days 00:32:00,139.94744518216066
0 days 00:33:00,140.94744518215322
0 days 00:34:00,141.94744518214927
0 days 00:35:00,142.9474451821472
0 days 00:36:00,143.94744518214608
0 days 00:37:00,144.94744518214551
0 days 00:38:00,145.9474451821452
0 days 00:39:00,146.94744518214503
0 days 00:40:00,147.94744518214497
0 days 00:41:00,148.94744518214492
0 days 00:42:00,149.9474451821449
0 days 00:43:00,150.9474451821449
0 days 00:44:00,151.94744518214486
0 days 00:45:00,152.94744518214486
0 days 00:46:00,153.94744518214486
0 days 00:47:00,154.94744518214486
0 days 00:48:00,155.94744518214486
0 days 00:49:00,156.94744518214486
0 days 00:50:00,157.94744518214486
0 days 00:51:00,158.94744518214486
0 days 00:52:00,159.94744518214486
0 days 00:53:00,160.94744518214486
0 days 00:54:00,161.94744518214486
0 days 00:55:00,162.94744518214486
0 days 00:56:00,163.94744518214486
0 days 00:57:00,164.94744518214486
0 days 00:58:00,165.94744518214486
0 days 00:59:00,166.94744518214486
0 days 01:00:00,167.94744518214486
0 days 01:01:00,168.94744518214486
0 days 01:02:00,169.94744518214486
0 days 01:03:00,170.94744518214486
0 days 01:04:00,171.94744518214486
0 days 01:05:00,172.94744518214486
0 days 01:06:00,173.94744518214486
0 days 01:07:00,174.94744518214486
0 days 01:08:00,175.94744518214486
0 days 01:09:00,176.94744518214486
0 days 01:10:00,177.94744518214486
0 days 01:11:00,178.94744518214486
0 days 01:12:00,179.94744518214486
0 days 01:13:00,180.94744518214486
0 days 01:14:00,181.94744518214486
0 days 01:15:00,182.94744518214486
0 days 01:16:00,183.94744518214486
0 days 01:17:00,184.94744518214486
0 days 01:18:00,185.94744518214486
0 days 01:19:00,186.94744518214486
0 days 01:20:00,187.94744518214486
0 days 01:21:00,188.94744518214486
0 days 01:22:00,189.94744518214486
0 days 01:23:00,190.94744518214486
0 days 01:24:00,191.94744518214486
0 days 01:25:00,192.94744518214486
0 days 01:26:00,193.94744518214486
0 days 01:27:00,194.94744518214486
0 days 01:28:00,195.94744518214486
0 days 01:29:00,196.94744518214486
0 days 01:30:00,197.94744518214486
0 days 01:31:00,198.94744518214486
0 days 01:32:00,199.94744518214486
0 days 01:33:00,200.94744518214486
